Name                                                      Stmts   Miss  Cover
-----------------------------------------------------------------------------
config/__init__.py                                            2      0   100%
config/celery.py                                              6      0   100%
config/settings.py                                           54      0   100%
config/urls.py                                                8      2    75%
manage.py                                                    11      2    82%
reservation/__init__.py                                       0      0   100%
reservation/admin.py                                         60     16    73%
reservation/apps.py                                           4      0   100%
reservation/forms.py                                         40      2    95%
reservation/management/__init__.py                            0      0   100%
reservation/management/commands/__init__.py                   0      0   100%
reservation/management/commands/fill_restaurant_data.py      36      0   100%
reservation/models.py                                        76      5    93%
reservation/services.py                                       8      0   100%
reservation/tasks.py                                         10      0   100%
reservation/urls.py                                           6      0   100%
reservation/validators.py                                    62      2    97%
reservation/views.py                                        176     67    62%
users/__init__.py                                             0      0   100%
users/admin.py                                                3      0   100%
users/apps.py                                                 4      0   100%
users/forms.py                                               25      4    84%
users/management/__init__.py                                  0      0   100%
users/management/commands/__init__.py                         0      0   100%
users/management/commands/csu.py                             10      0   100%
users/models.py                                              16      0   100%
users/urls.py                                                 6      0   100%
users/views.py                                              114     18    84%
-----------------------------------------------------------------------------
TOTAL                                                       737    118    84%
